Dataset Name,Image Name,Source Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Developmental Stage],Protocol REF,Experimental Condition [Antibody 1],Antibody Identifier 1,Comment [Antibody 1],Experimental Condition [Antibody 2],Antibody Identifier 2,Comment [Antibody 2],Experimental Condition [Antibody 3],Antibody Identifier 3,Comment [Antibody 3],Comment [Probe 1],Comment [Probe 2],Comment [Probe 3],Comment [Gene Identifier 1],Comment [Gene Symbol 1],Comment [Gene Identifier 2],Comment [Gene Symbol 2],Comment [Gene Identifier 3],Comment [Gene Symbol 3],Comment [Image File Path],Channels,Visualisation Method,Expression Pattern Description
ACE2-TMPRSS2,2021-06-22 17.17.50-5-14PCW-INTESTINE.ndpi [0],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 17.17.50-5-14PCW-INTESTINE.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Mucosal epithelium
ACE2-TMPRSS2,2021-06-22 17.17.50-5-14PCW-INTESTINE.ndpi [macro image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 17.17.50-5-14PCW-INTESTINE.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Mucosal epithelium
ACE2-TMPRSS2,2021-06-22 17.17.50-5-14PCW-INTESTINE.ndpi [macro mask image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 17.17.50-5-14PCW-INTESTINE.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Mucosal epithelium
ACE2-TMPRSS2,2021-06-22 18.04.12-7-14PCW-CHORIONIC-VILLI.ndpi [0],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.04.12-7-14PCW-CHORIONIC-VILLI.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Chorionic villi
ACE2-TMPRSS2,2021-06-22 18.04.12-7-14PCW-CHORIONIC-VILLI.ndpi [macro image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.04.12-7-14PCW-CHORIONIC-VILLI.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Chorionic villi
ACE2-TMPRSS2,2021-06-22 18.04.12-7-14PCW-CHORIONIC-VILLI.ndpi [macro mask image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.04.12-7-14PCW-CHORIONIC-VILLI.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Chorionic villi
ACE2-TMPRSS2,2021-06-22 18.06.25-14PCW-SKIN.ndpi [0],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.06.25-14PCW-SKIN.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Skin
ACE2-TMPRSS2,2021-06-22 18.06.25-14PCW-SKIN.ndpi [macro image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.06.25-14PCW-SKIN.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Skin
ACE2-TMPRSS2,2021-06-22 18.06.25-14PCW-SKIN.ndpi [macro mask image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.06.25-14PCW-SKIN.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Skin
ACE2-TMPRSS2,2021-06-22 18.08.22-6-14PCW-KIDNEY.ndpi [0],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.08.22-6-14PCW-KIDNEY.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Kidney
ACE2-TMPRSS2,2021-06-22 18.08.22-6-14PCW-KIDNEY.ndpi [macro image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.08.22-6-14PCW-KIDNEY.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Kidney
ACE2-TMPRSS2,2021-06-22 18.08.22-6-14PCW-KIDNEY.ndpi [macro mask image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.08.22-6-14PCW-KIDNEY.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Kidney
ACE2-TMPRSS2,2021-06-22 18.10.43-14PCW-AMNIOTIC-MEMBRANE.ndpi [0],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.10.43-14PCW-AMNIOTIC-MEMBRANE.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Amnion
ACE2-TMPRSS2,2021-06-22 18.10.43-14PCW-AMNIOTIC-MEMBRANE.ndpi [macro image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.10.43-14PCW-AMNIOTIC-MEMBRANE.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Amnion
ACE2-TMPRSS2,2021-06-22 18.10.43-14PCW-AMNIOTIC-MEMBRANE.ndpi [macro mask image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.10.43-14PCW-AMNIOTIC-MEMBRANE.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Amnion
ACE2-TMPRSS2,2021-06-22 18.30.30-7-14PCW-BLADDER.ndpi [0],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.30.30-7-14PCW-BLADDER.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Bladder
ACE2-TMPRSS2,2021-06-22 18.30.30-7-14PCW-BLADDER.ndpi [macro image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.30.30-7-14PCW-BLADDER.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Bladder
ACE2-TMPRSS2,2021-06-22 18.30.30-7-14PCW-BLADDER.ndpi [macro mask image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.30.30-7-14PCW-BLADDER.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Bladder
ACE2-TMPRSS2,2021-06-22 18.39.08-1-14PCW-LUNG.ndpi [0],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.39.08-1-14PCW-LUNG.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Lung
ACE2-TMPRSS2,2021-06-22 18.39.08-1-14PCW-LUNG.ndpi [macro image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.39.08-1-14PCW-LUNG.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Lung
ACE2-TMPRSS2,2021-06-22 18.39.08-1-14PCW-LUNG.ndpi [macro mask image],14pcw fetus,Homo sapiens,NCBITaxon,9606,14PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.39.08-1-14PCW-LUNG.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Lung
ACE2-TMPRSS2,2021-06-22 16.53.34-6-18PCW-BLADDER.ndpi [0],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 16.53.34-6-18PCW-BLADDER.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Bladder
ACE2-TMPRSS2,2021-06-22 16.53.34-6-18PCW-BLADDER.ndpi [macro image],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 16.53.34-6-18PCW-BLADDER.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Bladder
ACE2-TMPRSS2,2021-06-22 16.53.34-6-18PCW-BLADDER.ndpi [macro mask image],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 16.53.34-6-18PCW-BLADDER.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Bladder
ACE2-TMPRSS2,2021-06-22 16.55.34-1-18PCW-INTESTINE.ndpi [0],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 16.55.34-1-18PCW-INTESTINE.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Mucosal epithelium
ACE2-TMPRSS2,2021-06-22 16.55.34-1-18PCW-INTESTINE.ndpi [macro image],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 16.55.34-1-18PCW-INTESTINE.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Mucosal epithelium
ACE2-TMPRSS2,2021-06-22 16.55.34-1-18PCW-INTESTINE.ndpi [macro mask image],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 16.55.34-1-18PCW-INTESTINE.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",ACE2 and TMPRSS2 - Mucosal epithelium
ACE2-TMPRSS2,2021-06-22 18.00.33-18PCW-SKIN.ndpi [0],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.00.33-18PCW-SKIN.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Skin
ACE2-TMPRSS2,2021-06-22 18.00.33-18PCW-SKIN.ndpi [macro image],18pcw fetus,Homo sapiens,NCBITaxon,9606,18PCW,Immunohistochemistry,ACE-2,NM_001371415.1,R&D MAB933,Anti-TMPRSS2,NM_005656.4,Abcam ab109131,,,,,,,ENSG00000130234,ACE2,ENSG00000184012,TMPRSS2,,,ACE2-TMPRSS2\2021-06-22 18.00.33-18PCW-SKIN.ndpi,,"ACE2 Fast Red, TMPRSS2 DAB",TMPRSS2 - Skin
