Dataset Name,Image Name,channel1_color,channel1_min,channel1_max,channel2_color,channel2_min,channel2_max,channel3_color,channel3_min,channel3_max,channel4_color,channel4_min,channel4_max
ARX-ZIC1,CS13_2248_7_DAPI_ARX_ZIC1.lif,0000FF,0,255,FF00FF,0,255,00FF00,0,255,,,
ARX-ZIC1-FOXA2,CS18-14751-10-ARX_ZIC1_FOXA2-merged.lif,0000FF,0,255,00FFFF,0,255,FF00FF,0,255,00FFFF,0,255
ARX-ZIC1-PAX6,CS18-14751-9-ARX_ZIC1_PAX6-merged.lif,0000FF,0,255,FF00FF,0,255,00FF00,0,255,00FFFF,0,255
Neural_markers_10PCW,10pcw_13331_SP8_SCGN_STITCHING_10X.czi,0000FF,1690,9344,00FF00,1316,3848,FF0000,2576,4992,,,
Neural_markers_10PCW,10pcw_12721_SCGN_COUPTFII_GE_10X_Stitching.czi,0000FF,614,4359,00FF00,2048,6060,FF0000,1925,4124,,,
Neural_markers_10PCW,10pcw_12721_SCGN_SPB_5X_2_IP-Stitching-01.czi,0000FF,1892,9062,00FF00,295,4450,FF0000,3237,4601,,,
Neural_markers_10PCW,10pcw_13081_SCGN_CALB_STITCHING_10X.czi,0000FF,2706,5356,00FF00,3383,4471,FF0000,2801,5282,,,
Neural_markers_10PCW,10pcw_13136_SCG_CALR_stitching_10x.czi,0000FF,1924,11213,00FF00,1542,7545,FF0000,2257,4236,,,
Neural_markers_10PCW,10pcw_13136_SCG_COUPTFII_stitching_10x.czi,0000FF,8568,16384,00FF00,1238,7414,FF0000,2572,5705,,,
Neural_markers_10PCW,10pcw_13136_SCG_SP8_stitching_10x.czi,0000FF,971,3836,00FF00,1881,7119,FF0000,2568,5325,,,
Neural_markers_10PCW,10pcw_13341_SCGN_GAD67-Stitching_10X.czi,0000FF,942,7474,00FF00,1106,14979,FF0000,187,6581,,,
Neural_markers_10PCW,10pcw_13331_DLX2_CALR_-Stitching_10X.czi,0000FF,2294,15687,00FF00,614,8028,FF0000,696,5120,,,
Neural_markers_10PCW,10pcw_13331_DLX2_COUP-TFII_STITCHING_10X.czi,0000FF,2826,14578,00FF00,1270,9978,FF0000,737,5414,,,
Neural_markers_10PCW,10pcw_13341_DLX2_COUPTFII-Stitching-13.czi,0000FF,205,4833,00FF00,205,3797,FF0000,287,2433,,,
Neural_markers_10PCW,10pcw_13341_DLX2_GAD67-Stitching-10.czi,0000FF,860,4459,00FF00,696,7184,FF0000,614,3241,,,
Neural_markers_10PCW,10pcw_13341_DLX2_LHX6-Stitching-11.czi,0000FF,532,3009,00FF00,1106,4669,FF0000,328,2230,,,
Neural_markers_10PCW,10pcw_13331_COUPTFII_COUPTFI-Stitching-10X.czi,0000FF,441,5712,FF0000,441,3085,00FF00,716,2618,,,
Neural_markers_10PCW,10pcw_13331_COUPTFII_KI67-Stitching-10X.czi,0000FF,1010,4054,00FF00,683,3737,FF0000,1530,4438,,,
Neural_markers_10PCW,10pcw_13331_COUP-TFII_SCGN_STITCHING_10X.czi,0000FF,906,9409,00FF00,1628,3868,FF0000,1551,4177,,,
Neural_markers_10PCW,10pcw_13331_Calr_COUP-TFII_10X-Stitching-01.czi,0000FF,1533,4697,00FF00,819,4228,FF0000,1106,2759,,,
Neural_markers_10PCW,10pcw_13331_CalR_SCGN_STITCHING_10X.czi,0000FF,1997,8360,00FF00,1077,4125,FF0000,319,5978,,,
Neural_markers_10PCW,10pcw_13331_CALR_SP8_10X_IP-Stitching-09.czi,0000FF,1106,4930,00FF00,2253,6703,FF0000,1925,5002,,,
Neural_markers_10PCW,10pcw_13341_CALR_GAD67-Stitching-10X.czi,0000FF,0,16834,00FF00,205,5777,FF0000,451,6933,,,
Neural_markers_10PCW,10pcw_13341_CALB_CAD6-Stitching-27.czi,0000FF,286,5014,00FF00,1257,2132,FF0000,945,2201,,,
Neural_markers_10PCW,10pcw_13341_ASCL1_DLX2_Stitching-10X.czi,0000FF,850,7409,00FF00,1017,5017,FF0000,249,4249,,,
Neural_markers_10PCW,10pcw_13341_ASCL1_DLX2_Stitching-CMS_10X.czi,0000FF,614,9502,00FF00,2848,6427,FF0000,246,3702,,,
Neural_markers_10PCW,10pcw_13341_ASCL1_GAD67-Stitching-10X.czi,0000FF,392,5780,00FF00,1005,6293,FF0000,555,5582,,,
Neural_markers_CS19,CS19_12769_SP8_CALR_stitching_10X.czi,0000FF,1602,9895,00FF00,1762,6138,FF0000,929,1821,,,
Neural_markers_CS19,CS19_12769_SP8_SCGN_stitching WITH MGE_10X.czi,0000FF,755,9993,00FF00,915,3029,FF0000,1546,3030,,,
Neural_markers_CS19,CS19_12769_SP8_SCGN_stitching_10X.czi,0000FF,2518,8442,00FF00,1208,2759,FF0000,2060,2959,,,
Neural_markers_CS19,CS19_12769_OLIG2_PAX6_STITCHING_10X.czi,0000FF,1730,4297,00FF00,1045,1827,FF0000,1499,2717,,,
Neural_markers_CS19,CS19_12769_NKX2.2_COUPTFI_STITCHING_10X.czi,0000FF,1614,11673,00FF00,2379,10736,FF0000,944,6167,,,
Neural_markers_CS19,CS19_12769_NKX2.2_NKX2.1_STITCHING_10X.czi,0000FF,1709,10116,00FF00,335,4875,FF0000,699,4288,,,
Neural_markers_CS19,CS19_12769_NKX2.2_OLIG2_STITCHING_10X.czi,0000FF,3147,14335,00FF00,1266,3686,FF0000,365,1656,,,
Neural_markers_CS19,CS19_12769_DLX2_COUP-TFII_Stitching_10X.czi,0000FF,2206,15195,00FF00,3648,8806,FF0000,587,4158,,,
Neural_markers_CS19,CS19_12769_DLX2_LHX6_Stitching_10X.czi,0000FF,3221,10894,00FF00,2534,5454,FF0000,1321,5133,,,
Neural_markers_CS19,CS19_12769_DLX2_NKX2.1_10XStitching-67.czi,0000FF,4477,14827,00FF00,1696,9505,FF0000,2013,15183,,,
Neural_markers_CS19,CS19_12769_DLX2_OLIG2_Stitching_10X.czi,0000FF,2048,14335,00FF00,2741,9140,FF0000,1160,5233,,,
Neural_markers_CS19,CS19_12769_COUP-TFII_NKX2.1_STITCHING_10X.czi,0000FF,2495,12081,00FF00,607,2185,FF0000,291,1986,,,
Neural_markers_CS19,CS19_12769_COUP-TFI_NKX2.1_STITCHING_10X.czi,0000FF,4627,14990,00FF00,518,1826,FF0000,324,2207,,,
Neural_markers_CS19,CS19_12769_CALR_SCGN_stitching_10X.czi,0000FF,2119,6729,00FF00,1207,4322,FF0000,1617,3470,,,
Neural_markers_CS19,CS19_12769_Calb_NKX2.1_stitching_10X.czi,0000FF,2007,8199,00FF00,1106,8661,FF0000,2212,3932,,,
Neural_markers_CS21,CS21_12128_NKX2.2_NKX2.1_STITCHING_10X.czi,0000FF,1603,7970,00FF00,1626,10926,FF0000,362,1027,,,
Neural_markers_CS21,CS21_12128_COUPTFII_NKX2.1_STITCHING_10X.czi,0000FF,2351,15932,00FF00,1065,11387,FF0000,890,2476,,,
Neural_markers_CS23,CS23_12602_SP8_CALR-Stitching-10X_P1.czi,0000FF,1299,12328,00FF00,451,6811,FF0000,614,4501,,,
Neural_markers_CS23,CS23_12602_SP8_CALR-Stitching-10X_P2.czi,0000FF,2171,16383,00FF00,1106,6755,FF0000,860,6948,,,
Neural_markers_CS23,CS23_12602_SP8_CALR-Stitching-10X_P3.czi,0000FF,3604,12451,00FF00,410,5590,FF0000,778,6723,,,
Neural_markers_CS23,CS23_12602_SP8_CALR-Stitching-10X_P4.czi,0000FF,2048,10853,00FF00,573,4861,FF0000,1024,4142,,,
Neural_markers_CS23,CS23_12602_SP8_CALR-Stitching-10X_P5.czi,0000FF,1638,11837,00FF00,205,3794,FF0000,532,3735,,,
Neural_markers_CS23,CS23_12004_SCGN_CALB-Stitching-10X.czi,0000FF,1597,14868,00FF00,942,4153,FF0000,1434,4819,,,
Neural_markers_CS23,CS23_12004_SCGN_CALR-Stitching-07.czi,0000FF,205,5592,00FF00,369,3595,FF0000,532,4618,,,
Neural_markers_CS23,CS23_12602_SCGN_CAD6-Stitching-10X.czi,0000FF,1843,9751,00FF00,983,2423,FF0000,328,2117,,,
Neural_markers_CS23,CS23_12602_scgn_calb-Stitching-10x.czi,0000FF,1925,9584,00FF00,1270,3463,FF0000,0,1881,,,
Neural_markers_CS23,CS23_12602_SCGN_CALB-Stitching-10X_P2.czi,0000FF,2658,10854,00FF00,2662,5433,FF0000,2294,5512,,,
Neural_markers_CS23,CS23_12602_SCGN_CALB-Stitching-10X_P3.czi,0000FF,4449,11222,00FF00,1642,7390,FF0000,942,8075,,,
Neural_markers_CS23,CS23_12602_SCGN_CALB-Stitching-10X_P4.czi,0000FF,2335,11660,00FF00,1024,2361,FF0000,1188,4057,,,
Neural_markers_CS23,CS23_12602_SCGN_CALB-Stitching-10X_P5.czi,0000FF,1954,12082,00FF00,1106,3288,FF0000,737,3064,,,
Neural_markers_CS23,CS23_12602_SCGN_KI67_slide 151-Stitching-10x.czi,0000FF,5829,12328,00FF00,0,3922,FF0000,546,3918,,,
Neural_markers_CS23,CS23_12602_SCGN_PAX6-Stitching-10X.czi,0000FF,1113,10723,00FF00,1841,8541,FF0000,951,5122,,,
Neural_markers_CS23,CS23_12780_scgn_calb-Stitching_10x.czi,0000FF,0,13991,00FF00,3295,7701,FF0000,1926,3740,,,
Neural_markers_CS23,CS23_12780_SCGN_CALB_Stitching-10X.czi,0000FF,1434,9952,00FF00,819,4590,FF0000,451,4801,,,
Neural_markers_CS23,CS23_12780_SCGN_CALR-Stitching-10X.czi,0000FF,1720,12480,00FF00,532,8671,FF0000,614,5746,,,
Neural_markers_CS23,CS23_12780_SCGN_GAP43_Stitching-10X.czi,0000FF,3891,15810,00FF00,1245,7818,FF0000,2122,10668,,,
Neural_markers_CS23,CS23_12602_ROBO1_CALB-Stitching-10X.czi,0000FF,1722,11874,00FF00,983,3410,FF0000,1872,6407,,,
Neural_markers_CS23,CS23_12602_ROBO1_CALR_slide 133-Stitching-10x.czi,0000FF,1065,9929,00FF00,492,5046,FF0000,1720,4872,,,
Neural_markers_CS23,CS23_12602_ROBO1_GAP43-Stitching-10X.czi,0000FF,532,13785,00FF00,655,1960,FF0000,1065,2174,,,
Neural_markers_CS23,CS23_12602_ROBO1_SCGN-Stitching-10X.czi,0000FF,2171,10694,00FF00,1352,3792,FF0000,2089,5258,,,
Neural_markers_CS23,CS23_12602_OTX2_DAPI_slide 133-Stitching-10x.czi,0000FF,3934,10772,FF0000,410,3761,,,,,,
Neural_markers_CS23,CS23_12602_OTX2_FOXP2-Stitching-10X_P3.czi,0000FF,942,13975,00FF00,410,6752,FF0000,160,7495,,,
Neural_markers_CS23,CS23_12602_OTX2_FOXP2-Stitching-10X_P5.czi,0000FF,3339,13064,00FF00,532,4856,FF0000,655,5512,,,
Neural_markers_CS23,CS23_12602_NKX2.1_OLIG2-Stitching-10X_P1.czi,0000FF,4312,12860,00FF00,1948,10495,FF0000,0,9339,,,
Neural_markers_CS23,CS23_12602_NKX2.1_OLIG2-Stitching-10X_P2.czi,0000FF,4467,13434,00FF00,1084,6889,FF0000,763,3328,,,
Neural_markers_CS23,CS23_12602_NKX2.1_OLIG2-Stitching-10X_P3.czi,0000FF,3848,12374,00FF00,1030,5874,FF0000,640,5526,,,
